theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-18,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-11,28.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-11,1.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-04,34.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-04,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-28,18.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-28,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-21,27.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-21,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-14,12.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-14,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-07,14.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-10-07,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-30,17.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-30,7.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-23,14.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-23,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-16,23.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-16,11.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-09,23.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-09,15.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-02,28.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-09-02,16.0000,False
