level_id,parameter,parameter_value,baseline_value,is_baseline,tested_lower,tested_upper
seed_infections_per_week:4,seed_infections_per_week,5.567465888518653,5.219499270486237,False,4.175599416388989,6.263399124583485
seed_infections_per_week:5,seed_infections_per_week,5.915432506551069,5.219499270486237,False,4.175599416388989,6.263399124583485
seed_infections_per_week:6,seed_infections_per_week,6.263399124583485,5.219499270486237,False,4.175599416388989,6.263399124583485
initial_exposed_per_case:0,initial_exposed_per_case,1.600653493991914,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_exposed_per_case:1,initial_exposed_per_case,1.7340412851579068,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_exposed_per_case:2,initial_exposed_per_case,1.8674290763238994,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_exposed_per_case:3,initial_exposed_per_case,2.0008168674898923,2.0008168674898923,True,1.600653493991914,2.4009802409878707
initial_exposed_per_case:4,initial_exposed_per_case,2.134204658655885,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_exposed_per_case:5,initial_exposed_per_case,2.267592449821878,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_exposed_per_case:6,initial_exposed_per_case,2.4009802409878707,2.0008168674898923,False,1.600653493991914,2.4009802409878707
initial_infectious_per_case:0,initial_infectious_per_case,0.230501259239065,0.430501259239065,False,0.230501259239065,0.6305012592390651
initial_infectious_per_case:1,initial_infectious_per_case,0.2971679259057317,0.430501259239065,False,0.230501259239065,0.6305012592390651
initial_infectious_per_case:2,initial_infectious_per_case,0.36383459257239836,0.430501259239065,False,0.230501259239065,0.6305012592390651
initial_infectious_per_case:3,initial_infectious_per_case,0.430501259239065,0.430501259239065,True,0.230501259239065,0.6305012592390651
initial_infectious_per_case:4,initial_infectious_per_case,0.4971679259057317,0.430501259239065,False,0.230501259239065,0.6305012592390651
initial_infectious_per_case:5,initial_infectious_per_case,0.5638345925723984,0.430501259239065,False,0.230501259239065,0.6305012592390651
initial_infectious_per_case:6,initial_infectious_per_case,0.6305012592390651,0.430501259239065,False,0.230501259239065,0.6305012592390651
seasonal_amplitude:0,seasonal_amplitude,0.48,0.6,False,0.48,0.72
seasonal_amplitude:1,seasonal_amplitude,0.52,0.6,False,0.48,0.72
seasonal_amplitude:2,seasonal_amplitude,0.5599999999999999,0.6,False,0.48,0.72
seasonal_amplitude:3,seasonal_amplitude,0.6,0.6,True,0.48,0.72
seasonal_amplitude:4,seasonal_amplitude,0.64,0.6,False,0.48,0.72
seasonal_amplitude:5,seasonal_amplitude,0.6799999999999999,0.6,False,0.48,0.72
seasonal_amplitude:6,seasonal_amplitude,0.72,0.6,False,0.48,0.72
seasonal_peak_week:0,seasonal_peak_week,10.747186192422555,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_peak_week:1,seasonal_peak_week,11.642785041791102,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_peak_week:2,seasonal_peak_week,12.538383891159649,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_peak_week:3,seasonal_peak_week,13.433982740528194,13.433982740528194,True,10.747186192422555,16.120779288633834
seasonal_peak_week:4,seasonal_peak_week,14.32958158989674,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_peak_week:5,seasonal_peak_week,15.225180439265287,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_peak_week:6,seasonal_peak_week,16.120779288633834,13.433982740528194,False,10.747186192422555,16.120779288633834
seasonal_period_weeks:0,seasonal_period_weeks,50.0,52.18,False,50.0,54.0
seasonal_period_weeks:1,seasonal_period_weeks,50.666666666666664,52.18,False,50.0,54.0
seasonal_period_weeks:2,seasonal_period_weeks,51.333333333333336,52.18,False,50.0,54.0
seasonal_period_weeks:3,seasonal_period_weeks,52.0,52.18,False,50.0,54.0
seasonal_period_weeks:4,seasonal_period_weeks,52.18,52.18,True,50.0,54.0
seasonal_period_weeks:5,seasonal_period_weeks,52.666666666666664,52.18,False,50.0,54.0
seasonal_period_weeks:6,seasonal_period_weeks,53.333333333333336,52.18,False,50.0,54.0
seasonal_period_weeks:7,seasonal_period_weeks,54.0,52.18,False,50.0,54.0
beta_0:0,beta_0,3.728e-05,4.66e-05,False,3.728e-05,5.592e-05
beta_0:1,beta_0,4.038666666666667e-05,4.66e-05,False,3.728e-05,5.592e-05
beta_0:2,beta_0,4.349333333333333e-05,4.66e-05,False,3.728e-05,5.592e-05
beta_0:3,beta_0,4.66e-05,4.66e-05,True,3.728e-05,5.592e-05
beta_0:4,beta_0,4.970666666666667e-05,4.66e-05,False,3.728e-05,5.592e-05
beta_0:5,beta_0,5.281333333333333e-05,4.66e-05,False,3.728e-05,5.592e-05
beta_0:6,beta_0,5.592e-05,4.66e-05,False,3.728e-05,5.592e-05
sigma:0,sigma,0.072,0.09,False,0.072,0.108
sigma:1,sigma,0.078,0.09,False,0.072,0.108
sigma:2,sigma,0.08399999999999999,0.09,False,0.072,0.108
sigma:3,sigma,0.09,0.09,True,0.072,0.108
sigma:4,sigma,0.096,0.09,False,0.072,0.108
sigma:5,sigma,0.10200000000000001,0.09,False,0.072,0.108
sigma:6,sigma,0.108,0.09,False,0.072,0.108
eta:0,eta,2.16e-05,2.7e-05,False,2.16e-05,3.24e-05
eta:1,eta,2.34e-05,2.7e-05,False,2.16e-05,3.24e-05
eta:2,eta,2.52e-05,2.7e-05,False,2.16e-05,3.24e-05
eta:3,eta,2.7e-05,2.7e-05,True,2.16e-05,3.24e-05
eta:4,eta,2.8800000000000002e-05,2.7e-05,False,2.16e-05,3.24e-05
eta:5,eta,3.06e-05,2.7e-05,False,2.16e-05,3.24e-05
eta:6,eta,3.24e-05,2.7e-05,False,2.16e-05,3.24e-05
nu:0,nu,0.0024000000000000002,0.003,False,0.0024000000000000002,0.0036
nu:1,nu,0.0026000000000000003,0.003,False,0.0024000000000000002,0.0036
nu:2,nu,0.0028,0.003,False,0.0024000000000000002,0.0036
nu:3,nu,0.003,0.003,True,0.0024000000000000002,0.0036
nu:4,nu,0.0032,0.003,False,0.0024000000000000002,0.0036
nu:5,nu,0.0034000000000000002,0.003,False,0.0024000000000000002,0.0036
nu:6,nu,0.0036,0.003,False,0.0024000000000000002,0.0036
delta:0,delta,0.0007199999999999999,0.0009,False,0.0007199999999999999,0.00108
delta:1,delta,0.00078,0.0009,False,0.0007199999999999999,0.00108
delta:2,delta,0.0008399999999999999,0.0009,False,0.0007199999999999999,0.00108
delta:3,delta,0.0009,0.0009,True,0.0007199999999999999,0.00108
delta:4,delta,0.00096,0.0009,False,0.0007199999999999999,0.00108
delta:5,delta,0.00102,0.0009,False,0.0007199999999999999,0.00108
delta:6,delta,0.00108,0.0009,False,0.0007199999999999999,0.00108
phi:0,phi,0.096,0.12,False,0.096,0.144
phi:1,phi,0.104,0.12,False,0.096,0.144
phi:2,phi,0.112,0.12,False,0.096,0.144
phi:3,phi,0.12,0.12,True,0.096,0.144
phi:4,phi,0.128,0.12,False,0.096,0.144
phi:5,phi,0.136,0.12,False,0.096,0.144
phi:6,phi,0.144,0.12,False,0.096,0.144
mu:0,mu,8.0,10.0,False,8.0,12.0
mu:1,mu,8.666666666666666,10.0,False,8.0,12.0
mu:2,mu,9.333333333333334,10.0,False,8.0,12.0
mu:3,mu,10.0,10.0,True,8.0,12.0
mu:4,mu,10.666666666666666,10.0,False,8.0,12.0
mu:5,mu,11.333333333333332,10.0,False,8.0,12.0
mu:6,mu,12.0,10.0,False,8.0,12.0
psi:0,psi,0.26666666666666666,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
psi:1,psi,0.28888888888888886,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
psi:2,psi,0.3111111111111111,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
psi:3,psi,0.3333333333333333,0.3333333333333333,True,0.26666666666666666,0.39999999999999997
psi:4,psi,0.3555555555555555,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
psi:5,psi,0.37777777777777777,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
psi:6,psi,0.39999999999999997,0.3333333333333333,False,0.26666666666666666,0.39999999999999997
reporting_rate:0,reporting_rate,0.8,1.0,False,0.8,1.0
reporting_rate:1,reporting_rate,0.8333333333333334,1.0,False,0.8,1.0
reporting_rate:2,reporting_rate,0.8666666666666667,1.0,False,0.8,1.0
reporting_rate:3,reporting_rate,0.9,1.0,False,0.8,1.0
reporting_rate:4,reporting_rate,0.9333333333333333,1.0,False,0.8,1.0
reporting_rate:5,reporting_rate,0.9666666666666667,1.0,False,0.8,1.0
reporting_rate:6,reporting_rate,1.0,1.0,True,0.8,1.0
sh_noise_multiplier:0,sh_noise_multiplier,0.8,1.0,False,0.8,1.0
sh_noise_multiplier:1,sh_noise_multiplier,0.8333333333333334,1.0,False,0.8,1.0
sh_noise_multiplier:2,sh_noise_multiplier,0.8666666666666667,1.0,False,0.8,1.0
sh_noise_multiplier:3,sh_noise_multiplier,0.9,1.0,False,0.8,1.0
sh_noise_multiplier:4,sh_noise_multiplier,0.9333333333333333,1.0,False,0.8,1.0
sh_noise_multiplier:5,sh_noise_multiplier,0.9666666666666667,1.0,False,0.8,1.0
sh_noise_multiplier:6,sh_noise_multiplier,1.0,1.0,True,0.8,1.0
noise_scale:0,noise_scale,0.024,0.03,False,0.024,0.036
noise_scale:1,noise_scale,0.026,0.03,False,0.024,0.036
noise_scale:2,noise_scale,0.028,0.03,False,0.024,0.036
noise_scale:3,noise_scale,0.03,0.03,True,0.024,0.036
noise_scale:4,noise_scale,0.032,0.03,False,0.024,0.036
noise_scale:5,noise_scale,0.034,0.03,False,0.024,0.036
noise_scale:6,noise_scale,0.036,0.03,False,0.024,0.036
dt:0,dt,0.016,0.02,False,0.016,0.024
dt:1,dt,0.017333333333333333,0.02,False,0.016,0.024
dt:2,dt,0.018666666666666668,0.02,False,0.016,0.024
dt:3,dt,0.02,0.02,True,0.016,0.024
dt:4,dt,0.021333333333333333,0.02,False,0.016,0.024
dt:5,dt,0.02266666666666667,0.02,False,0.016,0.024
dt:6,dt,0.024,0.02,False,0.016,0.024
