level_id,parameter,parameter_value,age_group,outcome,conditional_mean,conditional_variance,simulations,baseline_value,is_baseline
beta_0:3,beta_0,4.66e-05,all ages combined,peak_weekly_cases,28.093333333333334,13.657955555555558,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,under_1,cumulative_cases,13.743333333333334,15.637455555555556,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,under_1,final_week_cases,2.183333333333333,2.363055555555555,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,under_1,peak_weekly_cases,4.33,1.8344333333333331,300,4.66e-05,True
beta_0:4,beta_0,4.970666666666667e-05,11_to_14,cumulative_cases,7.166666666666667,8.125555555555557,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,11_to_14,final_week_cases,1.2666666666666666,1.4088888888888889,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,11_to_14,peak_weekly_cases,2.6933333333333334,1.039288888888889,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,15_to_24,cumulative_cases,10.683333333333334,11.703055555555556,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,15_to_24,final_week_cases,1.9433333333333334,2.0934555555555554,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,15_to_24,peak_weekly_cases,3.5366666666666666,1.381988888888889,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,1_to_4,cumulative_cases,15.04,15.765066666666668,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,1_to_4,final_week_cases,2.19,2.0672333333333337,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,1_to_4,peak_weekly_cases,4.823333333333333,2.045455555555556,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,25_to_34,cumulative_cases,16.3,20.123333333333335,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,25_to_34,final_week_cases,2.8966666666666665,3.3059888888888893,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,25_to_34,peak_weekly_cases,4.963333333333333,2.0153222222222222,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,35_and_over,cumulative_cases,28.01,40.52323333333334,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,35_and_over,final_week_cases,5.0,5.58,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,35_and_over,peak_weekly_cases,7.526666666666666,3.829288888888888,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,5_to_10,cumulative_cases,40.23,50.8171,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,5_to_10,final_week_cases,7.01,7.436566666666668,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,5_to_10,peak_weekly_cases,10.126666666666667,3.8706222222222215,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,all ages combined,cumulative_cases,131.17333333333335,202.5966222222222,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,all ages combined,final_week_cases,22.49,26.536566666666666,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,all ages combined,peak_weekly_cases,28.093333333333334,13.657955555555558,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,under_1,cumulative_cases,13.743333333333334,15.637455555555556,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,under_1,final_week_cases,2.183333333333333,2.363055555555555,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:4,beta_0,4.970666666666667e-05,under_1,peak_weekly_cases,4.33,1.8344333333333331,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,11_to_14,cumulative_cases,7.16,8.147733333333333,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,11_to_14,final_week_cases,1.27,1.4037666666666666,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,11_to_14,peak_weekly_cases,2.6933333333333334,1.039288888888889,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,15_to_24,cumulative_cases,10.686666666666667,11.868488888888889,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,15_to_24,final_week_cases,1.94,2.1630666666666665,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,15_to_24,peak_weekly_cases,3.5433333333333334,1.4014555555555555,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,1_to_4,cumulative_cases,15.033333333333333,15.765555555555553,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,1_to_4,final_week_cases,2.183333333333333,2.0697222222222225,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,1_to_4,peak_weekly_cases,4.823333333333333,2.045455555555556,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,25_to_34,cumulative_cases,16.31,20.187233333333335,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,25_to_34,final_week_cases,2.9,3.3033333333333337,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,25_to_34,peak_weekly_cases,4.966666666666667,2.012222222222222,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,35_and_over,cumulative_cases,28.006666666666668,40.53328888888889,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,35_and_over,final_week_cases,5.0,5.58,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,35_and_over,peak_weekly_cases,7.523333333333333,3.829455555555555,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,5_to_10,cumulative_cases,40.25666666666667,50.83745555555555,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,5_to_10,final_week_cases,7.03,7.4557666666666655,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,5_to_10,peak_weekly_cases,10.13,3.8864333333333327,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,all ages combined,cumulative_cases,131.18,202.48093333333333,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,all ages combined,final_week_cases,22.496666666666666,26.636655555555556,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,all ages combined,peak_weekly_cases,28.1,13.683333333333334,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,under_1,cumulative_cases,13.726666666666667,15.74528888888889,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,under_1,final_week_cases,2.1733333333333333,2.376622222222222,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:5,beta_0,5.281333333333333e-05,under_1,peak_weekly_cases,4.33,1.8344333333333331,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,11_to_14,cumulative_cases,7.163333333333333,8.243322222222224,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,11_to_14,final_week_cases,1.2766666666666666,1.4267888888888889,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,11_to_14,peak_weekly_cases,2.69,1.0472333333333337,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,15_to_24,cumulative_cases,10.693333333333333,11.805955555555556,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,15_to_24,final_week_cases,1.94,2.1430666666666665,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,15_to_24,peak_weekly_cases,3.5433333333333334,1.4014555555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,1_to_4,cumulative_cases,15.053333333333333,16.057155555555553,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,1_to_4,final_week_cases,2.203333333333333,2.1286555555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,1_to_4,peak_weekly_cases,4.826666666666667,2.0499555555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,25_to_34,cumulative_cases,16.31,20.0539,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,25_to_34,final_week_cases,2.9,3.3033333333333337,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,25_to_34,peak_weekly_cases,4.966666666666667,2.0055555555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,35_and_over,cumulative_cases,28.0,40.34,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,35_and_over,final_week_cases,4.99,5.5299000000000005,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,35_and_over,peak_weekly_cases,7.52,3.8296000000000006,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,5_to_10,cumulative_cases,40.24333333333333,50.89745555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,5_to_10,final_week_cases,7.016666666666667,7.429722222222224,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,5_to_10,peak_weekly_cases,10.123333333333333,3.901455555555555,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,all ages combined,cumulative_cases,131.19666666666666,202.80465555555557,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,all ages combined,final_week_cases,22.496666666666666,26.703322222222223,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,all ages combined,peak_weekly_cases,28.106666666666666,13.721955555555553,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,under_1,cumulative_cases,13.733333333333333,15.68222222222222,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,under_1,final_week_cases,2.17,2.3877666666666673,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:6,beta_0,5.592e-05,under_1,peak_weekly_cases,4.33,1.8344333333333331,300,4.66e-05,False
contact_scale:0,contact_scale,0.12643658673651312,11_to_14,cumulative_cases,6.366666666666666,7.072222222222223,300,0.1580457334206414,False
