parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
delta,under_1,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,4.33,4.283333333333333,4.33,4.31,4.283333333333333,-0.026666666666666394,0.046666666666666856,0.010777521170130913,,,0.0002467120181405903,0.005837190476190476,0.0,1.7511571428571429,1.7511571428571429,0.0,1.0,0.0,0.0,0.0,12.0
dt,11_to_14,cumulative_cases,0.02,0.016,0.024,7.16,6.966666666666667,7.27,7.02,6.966666666666667,-0.05333333333333279,0.3033333333333328,0.042364990689012956,,,0.01114240362811789,0.025884201058201058,0.0,7.765260317460317,7.765260317460317,0.0,1.0,0.0,0.0,0.0,13.0
dt,11_to_14,final_week_cases,0.02,0.016,0.024,1.2666666666666666,1.1266666666666667,1.2666666666666666,1.1333333333333333,1.19,0.05666666666666664,0.1399999999999999,0.11052631578947361,,,0.0028879818594104295,0.004153354497354498,0.0,1.2460063492063493,1.2460063492063493,0.0,1.0,0.0,0.0,0.0,12.0
dt,11_to_14,outbreak_indicator,0.02,0.016,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dt,11_to_14,peak_weekly_cases,0.02,0.016,0.024,2.6933333333333334,2.6066666666666665,2.6966666666666668,2.65,2.61,-0.040000000000000036,0.0900000000000003,0.03341584158415853,,,0.0011356009070294848,0.0033455502645502646,0.0,1.0036650793650794,1.0036650793650794,0.0,1.0,0.0,0.0,0.0,12.0
dt,15_to_24,cumulative_cases,0.02,0.016,0.024,10.686666666666667,10.22,10.87,10.87,10.22,-0.6499999999999986,0.6499999999999986,0.06082345601996243,,,0.04965396825396816,0.03809738624338624,0.01155658201058192,11.429215873015872,11.440772455026455,0.0010101225294018136,0.9989898774705981,0.3033431725933209,0.002362885963604471,0.23628859636044708,12.0
dt,15_to_24,final_week_cases,0.02,0.016,0.024,1.9466666666666668,1.7766666666666666,1.9733333333333334,1.9733333333333334,1.8133333333333332,-0.16000000000000014,0.19666666666666677,0.10102739726027402,,,0.004951927437641729,0.006453259259259259,0.0,1.9359777777777778,1.9359777777777778,0.0,1.0,0.0,0.0,0.0,11.0
dt,15_to_24,outbreak_indicator,0.02,0.016,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dt,15_to_24,peak_weekly_cases,0.02,0.016,0.024,3.5366666666666666,3.52,3.69,3.69,3.52,-0.16999999999999993,0.16999999999999993,0.0480678605089538,,,0.0029378684807256222,0.004937063492063493,0.0,1.481119047619048,1.481119047619048,0.0,1.0,0.0,0.0,0.0,12.0
dt,1_to_4,cumulative_cases,0.02,0.016,0.024,15.04,14.576666666666666,15.04,14.953333333333333,14.753333333333334,-0.1999999999999993,0.46333333333333293,0.030806737588652457,,,0.025084807256235766,0.054448111111111114,0.0,16.334433333333333,16.334433333333333,0.0,1.0,0.0,0.0,0.0,13.0
